symbol
AAPL
INTC
BAC
AAL
MSFT
BA
WFC
F
GOOGL
NFLX
NVDA
AMD
PFE
DAL
XOM
SQ
JPM
KO
TGT
ORCL
KSS
LUV
WMT
MGM
V
KDP
OSTK
TWTR
PYPL
